Country Name,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Angola,18758138.0,19433604.0,20149905.0,20905360.0,21695636.0,22514275.0,23356247.0,24220660.0,25107925.0,26015786.0
Benin,7750003.0,7982223.0,8216893.0,8454790.0,8696915.0,8944713.0,9199254.0,9460829.0,9729254.0,10004594.0
Burkina Faso,13030576.0,13421935.0,13829173.0,14252029.0,14689725.0,15141098.0,15605211.0,16081915.0,16571252.0,17072791.0
Botswana,1765533.0,1799077.0,1835911.0,1875458.0,1915636.0,1953495.0,1987106.0,2015406.0,2039551.0,2062551.0
Central African Republic,3959883.0,4038380.0,4118075.0,4198004.0,4273368.0,4337623.0,4386765.0,4418639.0,4436411.0,4447945.0
Cameroon,17259322.0,17733408.0,18223677.0,18730283.0,19252674.0,19789922.0,20341236.0,20906392.0,21485267.0,22077300.0
Cabo Verde,456619.0,463034.0,469171.0,475067.0,480846.0,486667.0,492644.0,498858.0,505241.0,511740.0
Djibouti,771599.0,783248.0,794554.0,805456.0,816361.0,827820.0,840194.0,853671.0,868136.0,883296.0
Algeria,32692153.0,33149720.0,33641007.0,34166976.0,34730604.0,35333882.0,35977451.0,36661438.0,37383899.0,38140135.0
Ethiopia,74239508.0,76346310.0,78489205.0,80674343.0,82916236.0,85233923.0,87639962.0,90139928.0,92726982.0,95385793.0
Gabon,1353788.0,1390550.0,1430144.0,1472565.0,1518538.0,1568925.0,1624146.0,1684629.0,1749677.0,1817070.0
Ghana,21272328.0,21814648.0,22379057.0,22963946.0,23563832.0,24170943.0,24779614.0,25387713.0,25996454.0,26607641.0
Guinea,8925729.0,9109585.0,9307421.0,9518159.0,9738796.0,9964470.0,10192168.0,10420459.0,10652032.0,10892821.0
Guinea-Bissau,1313492.0,1344931.0,1377582.0,1411545.0,1446936.0,1483920.0,1522603.0,1562996.0,1604981.0,1648259.0
Kenya,35635267.0,36624897.0,37649039.0,38705934.0,39791984.0,40901798.0,42030684.0,43178270.0,44343469.0,45519986.0
Liberia,3135654.0,3218114.0,3329211.0,3461911.0,3607863.0,3754129.0,3891357.0,4017446.0,4135662.0,4248337.0
Lesotho,2005953.0,1996115.0,1989933.0,1986926.0,1987130.0,1990135.0,1995575.0,2003793.0,2014988.0,2028528.0
Morocco,30115196.0,30455563.0,30804689.0,31163670.0,31536807.0,31929087.0,32343384.0,32781860.0,33241898.0,33715705.0
Madagascar,17802992.0,18336722.0,18880265.0,19433520.0,19996476.0,20569115.0,21151640.0,21743970.0,22346641.0,22961259.0
Mali,12369078.0,12775509.0,13203378.0,13651455.0,14113578.0,14581427.0,15049352.0,15514593.0,15979492.0,16449854.0
Mozambique,19910549.0,20493927.0,21080108.0,21673319.0,22276596.0,22894718.0,23531567.0,24187500.0,24862673.0,25560752.0
Mauritania,2939246.0,3024198.0,3111908.0,3202512.0,3296237.0,3393408.0,3494200.0,3598646.0,3706555.0,3817497.0
Mauritius,1221003.0,1228254.0,1233996.0,1239630.0,1244121.0,1247429.0,1250400.0,1252404.0,1255882.0,1258653.0
Malawi,12301837.0,12625950.0,12973693.0,13341808.0,13727899.0,14128161.0,14539609.0,14962118.0,15396010.0,15839287.0
Namibia,1907737.0,1938316.0,1971318.0,2006516.0,2043382.0,2081039.0,2118877.0,2156698.0,2194777.0,2233506.0
Niger,13125914.0,13624474.0,14143969.0,14685404.0,15250913.0,15843131.0,16464025.0,17114770.0,17795209.0,18504287.0
Nigeria,135320420.0,138865014.0,142538305.0,146339971.0,150269622.0,154324939.0,158503203.0,162805080.0,167228803.0,171765819.0
Rwanda,8680516.0,8840220.0,9043342.0,9273759.0,9524532.0,9782770.0,10039338.0,10293333.0,10549668.0,10811538.0
Sudan,30214189.0,30949514.0,31661824.0,32360619.0,33060844.0,33783779.0,34545014.0,35349676.0,36193781.0,37072555.0
Senegal,10810086.0,11090123.0,11382272.0,11687078.0,12004700.0,12335092.0,12678143.0,13033814.0,13401990.0,13782429.0
Sao Tome and Principe,153736.0,157472.0,161676.0,166297.0,171122.0,175877.0,180372.0,184521.0,188394.0,192076.0
Chad,9734761.0,10096630.0,10457122.0,10818031.0,11183589.0,11560142.0,11952134.0,12360986.0,12784748.0,13220433.0
Togo,5467770.0,5611643.0,5762881.0,5920360.0,6083417.0,6250840.0,6421674.0,6595939.0,6773807.0,6954721.0
Tunisia,10022278.0,10106778.0,10201211.0,10304729.0,10414425.0,10525691.0,10635245.0,10741872.0,10846993.0,10952949.0
Uganda,26821300.0,27684590.0,28571475.0,29486335.0,30431734.0,31411096.0,32428164.0,33476772.0,34558700.0,35694519.0
Zambia,11550641.0,11856244.0,12173518.0,12502958.0,12848531.0,13215142.0,13605986.0,14023199.0,14465148.0,14926551.0
Zimbabwe,12019911.0,12076697.0,12155496.0,12255920.0,12379553.0,12526964.0,12697728.0,12894323.0,13115149.0,13350378.0
